"JHN.BRAIN.STRYKEER.BRAIN_STRYKER.t1_AX","COORD"
555,9306124
502,9371657
777,9371658
557,9371659
582,9371660
465,9437193
771,9437194
581,9437195
567,9437196
473,9502729
847,9502730
570,9502731
549,9502732
475,9568265
778,9568266
568,9568267
533,9568268
496,9633801
632,9633802
581,9633803
529,9633804
459,9699337
677,9699338
588,9699339
549,9699340
542,9764873
547,9764874
599,9764875
510,9764876
499,9830410
682,9830411
534,9830412
560,9895946
625,9895947
514,9895948
516,9961482
498,9961483
488,9961484
464,10027018
479,10027019
477,10092554
483,10092555
506,10158091
521,10223627
507,7667722
530,7733258
435,7733259
513,7798794
501,7798795
477,7864329
519,7864330
477,7864331
481,7929865
548,7929866
530,7929867
513,7995401
567,7995402
516,7995403
471,8060937
607,8060938
571,8060939
827,8060940
519,8126473
636,8126474
601,8126475
945,8126476
557,8192009
610,8192010
563,8192011
1017,8192012
556,8257545
584,8257546
530,8257547
1052,8257548
544,8323081
564,8323082
521,8323083
1069,8323084
440,8388617
563,8388618
530,8388619
1081,8388620
502,8454153
559,8454154
519,8454155
1085,8454156
561,8519689
555,8519690
527,8519691
1121,8519692
564,8585225
539,8585226
541,8585227
1115,8585228
606,8650761
514,8650762
524,8650763
1120,8650764
555,8716297
588,8716298
517,8716299
1124,8716300
504,8716301
565,8781833
577,8781834
547,8781835
1095,8781836
421,8781837
594,8847369
571,8847370
514,8847371
1046,8847372
406,8847373
581,8912905
619,8912906
526,8912907
994,8912908
381,8912909
626,8978441
540,8978442
620,8978443
894,8978444
390,8978445
605,9043977
557,9043978
631,9043979
692,9043980
428,9043981
613,9109513
574,9109514
611,9109515
579,9109516
416,9109517
656,9175049
552,9175050
629,9175051
572,9175052
436,9175053
599,9240585
562,9240586
626,9240587
566,9240588
428,9240589
608,9306121
573,9306122
585,9306123
583,9306124
576,9371657
603,9371658
599,9371659
611,9371660
538,9437193
653,9437194
631,9437195
582,9437196
551,9502729
956,9502730
600,9502731
554,9502732
522,9568265
966,9568266
575,9568267
567,9568268
500,9633801
724,9633802
584,9633803
552,9633804
437,9699337
700,9699338
562,9699339
548,9699340
659,9764873
618,9764874
532,9764875
527,9764876
689,9830409
568,9830410
561,9830411
541,9830412
537,9895946
632,9895947
600,9895948
525,9961482
636,9961483
561,9961484
485,10027018
515,10027019
537,10027020
440,10092554
454,10092555
524,10092556
475,10158090
487,10158091
516,10223627
517,10289163
465,7602186
480,7667722
394,7667723
497,7733258
433,7733259
495,7798793
500,7798794
587,7798795
487,7864329
534,7864330
596,7864331
487,7929865
574,7929866
506,7929867
518,7995401
621,7995402
548,7995403
503,8060937
667,8060938
583,8060939
977,8060940
499,8126473
675,8126474
612,8126475
1060,8126476
557,8192009
653,8192010
603,8192011
1116,8192012
614,8257545
635,8257546
566,8257547
1146,8257548
545,8323081
608,8323082
549,8323083
1132,8323084
467,8388617
577,8388618
540,8388619
1136,8388620
565,8454153
605,8454154
531,8454155
1136,8454156
605,8519689
581,8519690
546,8519691
1133,8519692
620,8585225
570,8585226
563,8585227
1137,8585228
433,8585229
627,8650761
593,8650762
548,8650763
1124,8650764
459,8650765
592,8716297
615,8716298
576,8716299
1104,8716300
576,8716301
606,8781833
600,8781834
597,8781835
1068,8781836
551,8781837
618,8847369
541,8847370
557,8847371
1027,8847372
569,8847373
619,8912905
570,8912906
600,8912907
972,8912908
571,8912909
645,8978441
552,8978442
664,8978443
918,8978444
556,8978445
621,9043977
523,9043978
635,9043979
779,9043980
543,9043981
610,9109513
548,9109514
639,9109515
583,9109516
524,9109517
625,9175049
524,9175050
648,9175051
543,9175052
486,9175053
631,9240585
526,9240586
621,9240587
567,9240588
472,9240589
685,9306121
556,9306122
639,9306123
545,9306124
543,9306125
678,9371657
575,9371658
639,9371659
554,9371660
582,9371661
666,9437193
620,9437194
625,9437195
581,9437196
659,9502729
794,9502730
584,9502731
560,9502732
726,9568265
916,9568266
560,9568267
535,9568268
575,9633801
791,9633802
558,9633803
529,9633804
453,9699337
667,9699338
535,9699339
511,9699340
714,9764873
645,9764874
521,9764875
518,9764876
615,9830409
603,9830410
545,9830411
498,9830412
466,9895945
568,9895946
610,9895947
579,9895948
578,9961482
699,9961483
586,9961484
520,10027018
645,10027019
484,10027020
477,10092554
461,10092555
501,10092556
484,10158090
477,10158091
502,10158092
458,10223626
501,10223627
520,10223628
456,10289163
460,10354699
452,7536650
426,7602186
447,7667722
336,7667723
496,7733257
471,7733258
414,7733259
508,7798793
516,7798794
606,7798795
505,7864329
571,7864330
647,7864331
511,7929865
656,7929866
514,7929867
528,7995401
722,7995402
565,7995403
849,7995404
499,8060937
687,8060938
612,8060939
975,8060940
507,8126473
680,8126474
624,8126475
1047,8126476
553,8192009
683,8192010
650,8192011
1095,8192012
615,8257545
644,8257546
615,8257547
1126,8257548
564,8323081
618,8323082
581,8323083
1116,8323084
538,8388617
577,8388618
590,8388619
1129,8388620
573,8454153
580,8454154
568,8454155
1163,8454156
420,8454157
578,8519689
581,8519690
584,8519691
1151,8519692
493,8519693
646,8585225
608,8585226
593,8585227
1153,8585228
479,8585229
623,8650761
609,8650762
579,8650763
1125,8650764
516,8650765
598,8716297
594,8716298
616,8716299
1083,8716300
558,8716301
597,8781833
588,8781834
608,8781835
1039,8781836
594,8781837
601,8847369
525,8847370
580,8847371
1010,8847372
665,8847373
626,8912905
540,8912906
648,8912907
970,8912908
678,8912909
637,8978441
559,8978442
665,8978443
887,8978444
667,8978445
605,9043977
527,9043978
614,9043979
784,9043980
661,9043981
607,9109513
497,9109514
639,9109515
626,9109516
613,9109517
653,9175049
479,9175050
602,9175051
573,9175052
531,9175053
685,9240585
504,9240586
627,9240587
599,9240588
535,9240589
722,9306121
530,9306122
661,9306123
577,9306124
574,9306125
732,9371657
589,9371658
589,9371659
585,9371660
568,9371661
709,9437193
680,9437194
565,9437195
592,9437196
573,9437197
665,9502729
662,9502730
565,9502731
581,9502732
561,9502733
819,9568265
705,9568266
556,9568267
558,9568268
555,9568269
685,9633801
752,9633802
537,9633803
543,9633804
557,9699337
743,9699338
536,9699339
524,9699340
676,9764873
761,9764874
519,9764875
532,9764876
521,9830409
694,9830410
564,9830411
530,9830412
477,9895945
617,9895946
643,9895947
533,9895948
483,9961481
574,9961482
680,9961483
568,9961484
518,10027018
715,10027019
539,10027020
477,10092554
615,10092555
511,10092556
482,10158090
521,10158091
494,10158092
466,10223626
505,10223627
491,10223628
451,10289162
474,10289163
532,10289164
452,10354698
464,10354699
466,10354700
427,10420235
435,7536650
436,7602186
499,7667721
463,7667722
256,7667723
495,7733257
511,7733258
449,7733259
523,7798793
557,7798794
675,7798795
517,7864329
625,7864330
588,7864331
501,7929865
703,7929866
553,7929867
515,7995401
733,7995402
594,7995403
842,7995404
458,8060937
657,8060938
643,8060939
990,8060940
522,8126473
687,8126474
676,8126475
1064,8126476
546,8192009
715,8192010
662,8192011
1122,8192012
622,8257545
625,8257546
639,8257547
1150,8257548
624,8323081
614,8323082
599,8323083
1135,8323084
548,8388617
592,8388618
620,8388619
1159,8388620
556,8454153
571,8454154
618,8454155
1183,8454156
487,8454157
588,8519689
581,8519690
614,8519691
1166,8519692
518,8519693
657,8585225
588,8585226
620,8585227
1151,8585228
507,8585229
636,8650761
584,8650762
604,8650763
1121,8650764
576,8650765
596,8716297
570,8716298
610,8716299
1084,8716300
586,8716301
583,8781833
523,8781834
616,8781835
1028,8781836
706,8781837
600,8847369
497,8847370
626,8847371
988,8847372
777,8847373
617,8912905
542,8912906
674,8912907
946,8912908
737,8912909
655,8978441
576,8978442
652,8978443
867,8978444
780,8978445
636,9043977
594,9043978
610,9043979
750,9043980
770,9043981
648,9109513
532,9109514
644,9109515
636,9109516
651,9109517
711,9175049
498,9175050
618,9175051
598,9175052
592,9175053
703,9240585
529,9240586
674,9240587
607,9240588
603,9240589
721,9306121
521,9306122
630,9306123
634,9306124
612,9306125
720,9371657
549,9371658
513,9371659
671,9371660
576,9371661
665,9437193
665,9437194
552,9437195
620,9437196
553,9437197
627,9502729
643,9502730
589,9502731
591,9502732
566,9502733
779,9568265
554,9568266
570,9568267
605,9568268
554,9568269
804,9633801
602,9633802
545,9633803
565,9633804
555,9633805
712,9699337
790,9699338
553,9699339
555,9699340
545,9699341
615,9764873
905,9764874
564,9764875
535,9764876
503,9830409
854,9830410
573,9830411
554,9830412
511,9895945
801,9895946
641,9895947
521,9895948
480,9961481
684,9961482
654,9961483
522,9961484
503,10027017
614,10027018
660,10027019
588,10027020
512,10092554
743,10092555
551,10092556
468,10158090
585,10158091
533,10158092
506,10223626
478,10223627
508,10223628
470,10289162
500,10289163
506,10289164
473,10354698
471,10354699
506,10354700
459,10420234
446,10420235
427,10420236
455,10485771
426,7471114
452,7536650
508,7602185
450,7602186
388,7602187
492,7667721
488,7667722
284,7667723
504,7733257
545,7733258
518,7733259
540,7798793
599,7798794
675,7798795
535,7864329
741,7864330
519,7864331
510,7929865
730,7929866
559,7929867
696,7929868
497,7995401
647,7995402
616,7995403
862,7995404
439,8060937
647,8060938
660,8060939
1056,8060940
494,8126473
698,8126474
710,8126475
1095,8126476
570,8192009
704,8192010
668,8192011
1137,8192012
679,8257545
623,8257546
669,8257547
1168,8257548
666,8323081
614,8323082
652,8323083
1157,8323084
540,8388617
596,8388618
655,8388619
1173,8388620
475,8388621
556,8454153
604,8454154
656,8454155
1144,8454156
549,8454157
637,8519689
581,8519690
649,8519691
1136,8519692
536,8519693
652,8585225
532,8585226
677,8585227
1121,8585228
536,8585229
615,8650761
576,8650762
649,8650763
1084,8650764
587,8650765
601,8716297
586,8716298
631,8716299
1060,8716300
650,8716301
613,8781833
558,8781834
656,8781835
1002,8781836
786,8781837
627,8847369
545,8847370
697,8847371
954,8847372
806,8847373
616,8912905
602,8912906
705,8912907
887,8912908
790,8912909
658,8978441
642,8978442
644,8978443
826,8978444
847,8978445
662,9043977
611,9043978
608,9043979
742,9043980
772,9043981
656,9109513
602,9109514
661,9109515
600,9109516
648,9109517
660,9175049
625,9175050
691,9175051
586,9175052
637,9175053
639,9240585
583,9240586
646,9240587
644,9240588
623,9240589
701,9306121
523,9306122
578,9306123
627,9306124
615,9306125
